list-dl-m,4,16,1,192,24591360,128080
list-dl-m,4,32,1,384,21650432,56381
list-dl-m,8,1,1,24,36768768,1532032
list-dl-m,8,2,1,48,38747904,807248
list-dl-m,8,4,1,96,56576512,589338
list-dl-m,8,8,1,192,58325760,303780
list-dl-m,8,16,1,384,46364416,120740
list-dl-m,8,32,1,768,30454784,39654
list-dl-m,12,1,1,36,82570496,2293624
list-dl-m,12,2,1,72,123168768,1710677
list-dl-m,12,4,1,144,51233536,355788
list-dl-m,12,8,1,288,113439744,393888
list-dl-m,12,16,1,576,109596160,190271
list-dl-m,12,32,1,1152,61389056,53289
list-i-s,2,1,1,6,4307200,717866
list-i-s,2,2,1,12,33181184,2765098
list-i-s,2,4,1,24,2408960,100373
list-i-s,2,8,1,48,3377920,70373
list-i-s,2,16,1,96,52310272,544898
list-i-s,2,32,1,192,2975232,15496
list-i-s,4,1,1,12,71062784,5921898
list-i-s,4,2,1,24,24101376,1004224
list-i-s,4,4,1,48,28233728,588202
list-i-s,4,8,1,96,6261248,65221
list-i-s,4,16,1,192,5683200,29600
list-i-s,4,32,1,384,5286656,13767
list-i-s,8,1,1,24,121062656,5044277
list-i-s,8,2,1,48,97774336,2036965
list-i-s,8,4,1,96,193937664,2020184
list-i-s,8,8,1,192,183839232,957496
list-i-s,8,16,1,384,168995072,440091
list-i-s,8,32,1,768,68302592,88935
list-i-s,12,1,1,36,127962880,3554524
list-i-s,12,2,1,72,242212096,3364056
list-i-s,12,4,1,144,149995520,1041635
list-i-s,12,8,1,288,376641792,1307784
list-i-s,12,16,1,576,262287104,455359
list-i-s,12,32,1,1152,455304192,395229
list-d-s,2,1,1,6,22111232,3685205
list-d-s,2,2,1,12,3652352,304362
list-d-s,2,4,1,24,2135552,88981
list-d-s,2,8,1,48,27999488,583322
list-d-s,2,16,1,96,1566720,16320
list-d-s,2,32,1,192,20823296,108454
list-d-s,4,1,1,12,25474816,2122901
list-d-s,4,2,1,24,119054848,4960618
list-d-s,4,4,1,48,50762496,1057552
list-d-s,4,8,1,96,87213824,908477
list-d-s,4,16,1,192,68007424,354205
list-d-s,4,32,1,384,12421120,32346
list-d-s,8,1,1,24,2876160,119840
list-d-s,8,2,1,48,41431808,863162
list-d-s,8,4,1,96,2979840,31040
list-d-s,8,8,1,192,3056896,15921
list-d-s,8,16,1,384,181937152,473794
list-d-s,8,32,1,768,62568704,81469
list-d-s,12,1,1,36,129614336,3600398
list-d-s,12,2,1,72,56943360,790880
list-d-s,12,4,1,144,29439744,204442
list-d-s,12,8,1,288,15260416,52987
list-d-s,12,16,1,576,52896000,91833
list-d-s,12,32,1,1152,35460864,30782
list-il-s,2,1,1,6,1538560,256426
list-il-s,2,2,1,12,8513792,709482
list-il-s,2,4,1,24,38304512,1596021
list-il-s,2,8,1,48,52519680,1094160
list-il-s,2,16,1,96,3066368,31941
list-il-s,2,32,1,192,27537920,143426
list-il-s,4,1,1,12,50394368,4199530
list-il-s,4,2,1,24,79694080,3320586
list-il-s,4,4,1,48,53318144,1110794
list-il-s,4,8,1,96,2976512,31005
list-il-s,4,16,1,192,45592576,237461
list-il-s,4,32,1,384,8500736,22137
list-il-s,8,1,1,24,4468992,186208
list-il-s,8,2,1,48,29230848,608976
list-il-s,8,4,1,96,3447296,35909
list-il-s,8,8,1,192,159665408,831590
list-il-s,8,16,1,384,129663744,337666
list-il-s,8,32,1,768,19260672,25079
list-il-s,12,1,1,36,7065344,196259
list-il-s,12,2,1,72,6027264,83712
list-il-s,12,4,1,144,305736704,2123171
list-il-s,12,8,1,288,160699392,557984
list-il-s,12,16,1,576,10173440,17662
list-il-s,12,32,1,1152,721908224,626656
list-dl-s,2,1,1,6,13078272,2179712
list-dl-s,2,2,1,12,1928960,160746
list-dl-s,2,4,1,24,1481472,61728
list-dl-s,2,8,1,48,19602432,408384
list-dl-s,2,16,1,96,1769216,18429
list-dl-s,2,32,1,192,19127296,99621
list-dl-s,4,1,1,12,10801152,900096
list-dl-s,4,2,1,24,26386944,1099456
list-dl-s,4,4,1,48,30058240,626213
list-dl-s,4,8,1,96,4590592,47818
list-dl-s,4,16,1,192,28689920,149426
list-dl-s,4,32,1,384,24116992,62804
list-dl-s,8,1,1,24,24239872,1009994
list-dl-s,8,2,1,48,56622592,1179637
list-dl-s,8,4,1,96,3055360,31826
list-dl-s,8,8,1,192,132449792,689842
list-dl-s,8,16,1,384,132585472,345274
list-dl-s,8,32,1,768,2174208,2831
list-dl-s,12,1,1,36,89050624,2473628
list-dl-s,12,2,1,72,35651328,495157
list-dl-s,12,4,1,144,171277568,1189427
list-dl-s,12,8,1,288,227422464,789661
list-dl-s,12,16,1,576,305629952,530607
list-dl-s,12,32,1,1152,91611392,79523
list-none-none,1,1000,1,3000,8531456,2843
list-none-none,2,1000,1,6000,9999360,1666
list-none-m,1,1000,1,3000,7801600,2600
list-none-m,2,1000,1,6000,17928192,2988
list-none-m,4,1000,1,12000,33945856,2828
list-none-m,8,1000,1,24000,86563840,3606
list-none-m,12,1000,1,36000,163654144,4545
list-none-m,16,1000,1,48000,227506432,4739
list-none-m,24,1000,1,72000,588099584,8168
list-none-s,1,1000,1,3000,13056000,4352
list-none-s,2,1000,1,6000,27988736,4664
list-none-s,4,1000,1,12000,21711104,1809
list-none-s,8,1000,1,24000,106711552,4446
list-none-s,12,1000,1,36000,233770496,6493
list-none-s,16,1000,1,48000,424829440,8850
list-none-s,24,1000,1,72000,1858604288,25813
